condition,scenario,trials,asr,median_detection_turn,fpr,mean_turn_ms
A,N1,100,,,0.0000,0.0447
A,N10,100,,,0.0000,0.0531
A,N11,100,,,0.0000,0.0425
A,N12,100,,,0.0000,0.0562
A,N13,100,,,0.0000,0.0451
A,N14,100,,,0.0000,0.0433
A,N15,100,,,0.0000,0.0612
A,N16,100,,,0.0000,0.0528
A,N17,100,,,0.0000,0.0427
A,N18,100,,,0.0000,0.0558
A,N19,100,,,0.0000,0.0442
A,N2,100,,,0.0000,0.043
A,N20,100,,,0.0000,0.0431
A,N21,100,,,0.0000,0.0621
A,N22,100,,,0.0000,0.0537
A,N23,100,,,0.0000,0.0435
A,N24,100,,,0.0000,0.0562
A,N25,100,,,0.0000,0.0444
A,N26,100,,,0.0000,0.0435
A,N27,100,,,0.0000,0.0628
A,N28,100,,,0.0000,0.054
A,N29,100,,,0.0000,0.0424
A,N3,100,,,0.0000,0.0615
A,N30,100,,,0.0000,0.0575
A,N4,100,,,0.0000,0.054
A,N5,100,,,0.0000,0.0423
A,N6,100,,,0.0000,0.0569
A,N7,100,,,0.0000,0.0444
A,N8,100,,,0.0000,0.0432
A,N9,100,,,0.0000,0.061
A,S1,100,1.0000,,,0.0508
A,S2,100,1.0000,,,0.0594
A,S3,100,1.0000,,,0.0621
A,S4,100,1.0000,,,0.0605
B,N1,100,,,0.0000,0.0458
B,N10,100,,,0.0000,0.0535
B,N11,100,,9.0,1.0000,0.0376
B,N12,100,,9.0,1.0000,0.052
B,N13,100,,,0.0000,0.0448
B,N14,100,,,0.0000,0.043
B,N15,100,,,0.0000,0.0617
B,N16,100,,,0.0000,0.0534
B,N17,100,,9.0,1.0000,0.038
B,N18,100,,9.0,1.0000,0.0516
B,N19,100,,,0.0000,0.0455
B,N2,100,,,0.0000,0.0435
B,N20,100,,,0.0000,0.043
B,N21,100,,,0.0000,0.0622
B,N22,100,,,0.0000,0.0539
B,N23,100,,9.0,1.0000,0.038
B,N24,100,,9.0,1.0000,0.0525
B,N25,100,,,0.0000,0.0444
B,N26,100,,,0.0000,0.0434
B,N27,100,,,0.0000,0.0633
B,N28,100,,,0.0000,0.0545
B,N29,100,,9.0,1.0000,0.039
B,N3,100,,,0.0000,0.0617
B,N30,100,,9.0,1.0000,0.0525
B,N4,100,,,0.0000,0.0528
B,N5,100,,9.0,1.0000,0.0377
B,N6,100,,9.0,1.0000,0.0515
B,N7,100,,,0.0000,0.0446
B,N8,100,,,0.0000,0.0433
B,N9,100,,,0.0000,0.0622
