condition,scenario,trials,asr,median_detection_turn,fpr,mean_turn_ms
A,N1,100,,,0.0000,0.0477
A,N10,100,,,0.0000,0.0566
A,N11,100,,,0.0000,0.045
A,N12,100,,,0.0000,0.0597
A,N13,100,,,0.0000,0.0465
A,N14,100,,,0.0000,0.0457
A,N15,100,,,0.0000,0.0647
A,N16,100,,,0.0000,0.0555
A,N17,100,,,0.0000,0.0447
A,N18,100,,,0.0000,0.059
A,N19,100,,,0.0000,0.0466
A,N2,100,,,0.0000,0.0453
A,N20,100,,,0.0000,0.0454
A,N21,100,,,0.0000,0.064
A,N22,100,,,0.0000,0.0556
A,N23,100,,,0.0000,0.0447
A,N24,100,,,0.0000,0.0584
A,N25,100,,,0.0000,0.0469
A,N26,100,,,0.0000,0.0444
A,N27,100,,,0.0000,0.0646
A,N28,100,,,0.0000,0.0561
A,N29,100,,,0.0000,0.045
A,N3,100,,,0.0000,0.065
A,N30,100,,,0.0000,0.0591
A,N4,100,,,0.0000,0.0558
A,N5,100,,,0.0000,0.0448
A,N6,100,,,0.0000,0.0597
A,N7,100,,,0.0000,0.0479
A,N8,100,,,0.0000,0.0444
A,N9,100,,,0.0000,0.0641
A,S1,100,1.0000,,,0.0529
A,S2,100,1.0000,,,0.0624
A,S3,100,1.0000,,,0.0651
A,S4,100,1.0000,,,0.0628
B,N1,100,,,0.0000,0.0477
B,N10,100,,,0.0000,0.0566
B,N11,100,,9.0,1.0000,0.0395
B,N12,100,,9.0,1.0000,0.0546
B,N13,100,,,0.0000,0.0467
B,N14,100,,,0.0000,0.045
B,N15,100,,,0.0000,0.0651
B,N16,100,,,0.0000,0.0556
B,N17,100,,9.0,1.0000,0.0402
B,N18,100,,9.0,1.0000,0.0544
B,N19,100,,,0.0000,0.0474
B,N2,100,,,0.0000,0.0454
B,N20,100,,,0.0000,0.0448
B,N21,100,,,0.0000,0.0648
B,N22,100,,,0.0000,0.0561
B,N23,100,,9.0,1.0000,0.0402
B,N24,100,,9.0,1.0000,0.0542
B,N25,100,,,0.0000,0.0467
B,N26,100,,,0.0000,0.0457
B,N27,100,,,0.0000,0.0652
B,N28,100,,,0.0000,0.0556
B,N29,100,,9.0,1.0000,0.0403
B,N3,100,,,0.0000,0.0657
B,N30,100,,9.0,1.0000,0.0541
B,N4,100,,,0.0000,0.0563
B,N5,100,,9.0,1.0000,0.0396
B,N6,100,,9.0,1.0000,0.0536
B,N7,100,,,0.0000,0.0473
B,N8,100,,,0.0000,0.0454
B,N9,100,,,0.0000,0.0653
B,S1,100,0.0000,2.0,,0.0269
B,S2,100,1.0000,,,0.0613
B,S3,100,1.0000,,,0.0654
B,S4,100,1.0000,,,0.0635
C1,N1,100,,,0.0000,0.1165
C1,N10,100,,,0.0000,0.1276
C1,N11,100,,,0.0000,0.1144
C1,N12,100,,,0.0000,0.1288
C1,N13,100,,,0.0000,0.1145
C1,N14,100,,,0.0000,0.1134
C1,N15,100,,,0.0000,0.133
C1,N16,100,,,0.0000,0.1265
C1,N17,100,,,0.0000,0.1128
C1,N18,100,,,0.0000,0.1287
C1,N19,100,,,0.0000,0.1148
C1,N2,100,,,0.0000,0.1137
C1,N20,100,,,0.0000,0.1154
C1,N21,100,,,0.0000,0.1336
