condition,scenario,trials,asr,median_detection_turn,fpr,mean_turn_ms
C4,N1,100,,,0.0000,0.0625
C4,N10,100,,,0.0000,0.0767
C4,N11,100,,,0.0000,0.0602
C4,N12,100,,,0.0000,0.0832
C4,N13,100,,,0.0000,0.0642
C4,N14,100,,,0.0000,0.0616
C4,N15,100,,,0.0000,0.0874
C4,N16,100,,,0.0000,0.0744
C4,N17,100,,,0.0000,0.0595
C4,N18,100,,,0.0000,0.0798
C4,N19,100,,,0.0000,0.0626
C4,N2,100,,,0.0000,0.0566
C4,N20,100,,,0.0000,0.0606
C4,N21,100,,,0.0000,0.0868
C4,N22,100,,,0.0000,0.0737
C4,N23,100,,,0.0000,0.0595
C4,N24,100,,,0.0000,0.0777
C4,N25,100,,,0.0000,0.061
C4,N26,100,,,0.0000,0.0596
C4,N27,100,,,0.0000,0.0878
C4,N28,100,,,0.0000,0.0735
C4,N29,100,,,0.0000,0.0611
C4,N3,100,,,0.0000,0.0816
C4,N30,100,,,0.0000,0.0776
C4,N4,100,,,0.0000,0.072
C4,N5,100,,,0.0000,0.0577
C4,N6,100,,,0.0000,0.0809
C4,N7,100,,,0.0000,0.0632
C4,N8,100,,,0.0000,0.061
C4,N9,100,,,0.0000,0.0886
C4,NE1,100,,,0.0000,0.0617
C4,NE10,100,,,0.0000,0.0607
C4,NE2,100,,,0.0000,0.0624
C4,NE3,100,,,0.0000,0.0602
C4,NE4,100,,,0.0000,0.0578
C4,NE5,100,,,0.0000,0.0592
C4,NE6,100,,,0.0000,0.0621
C4,NE7,100,,,0.0000,0.0602
C4,NE8,100,,,0.0000,0.0588
C4,NE9,100,,,0.0000,0.0625
C4,S1,100,0.0000,2.0,,0.0422
C4,S2,100,0.0000,3.0,,0.0714
C4,S3,100,0.0000,3.0,,0.0721
C4,S4,100,0.0000,5.0,,0.0689
