condition,scenario,trials,asr,median_detection_turn,fpr,mean_turn_ms
A,S1,100,1.0000,,,0.0357
A,S2,100,1.0000,,,0.042
A,S3,100,1.0000,,,0.0472
A,S4,100,1.0000,,,0.0426
A,S5,100,1.0000,,,0.05
B,S1,100,0.0000,2.0,,0.0193
B,S2,100,1.0000,,,0.0421
B,S3,100,1.0000,,,0.047
B,S4,100,1.0000,,,0.0428
B,S5,100,1.0000,,,0.0503
C1,S1,100,0.0000,2.0,,0.0911
C1,S2,100,0.0000,6.0,,0.0979
C1,S3,100,0.0000,5.0,,0.0997
C1,S4,100,1.0000,,,0.0983
C1,S5,100,1.0000,,,0.1112
C2,S1,100,0.0000,2.0,,0.0243
C2,S2,100,0.0000,3.0,,0.0403
C2,S3,100,0.0000,3.0,,0.0448
C2,S4,100,1.0000,4.0,,0.0463
C2,S5,100,1.0000,,,0.0539
C3,S1,100,0.0000,2.0,,0.022
C3,S2,100,0.0000,3.0,,0.0392
C3,S3,100,0.0000,3.0,,0.0435
C3,S4,100,0.0000,4.0,,0.0379
C3,S5,100,1.0000,,,0.0535
C4,S1,100,0.0000,2.0,,0.0207
C4,S2,100,0.0000,3.0,,0.037
C4,S3,100,0.0000,3.0,,0.0409
C4,S4,100,0.0000,4.0,,0.0351
C4,S5,100,1.0000,,,0.0505
D,S1,100,1.0000,,,0.0357
D,S2,100,1.0000,,,0.0426
D,S3,100,1.0000,,,0.0496
D,S4,100,1.0000,,,0.043
D,S5,100,1.0000,,,0.0512
